name,slug,value,date_of_information,ranking,region
"Mauritania","mauritania","32.6","2014 est.","132","Africa"
"United Arab Emirates","united-arab-emirates","32.5","2014 est.","133","Middle East"
"Bangladesh","bangladesh","32.4","2016 est.","134","South Asia"
"France","france","32.4","2018 est.","135","Europe"
"Lebanon","lebanon","31.8","2011 est.","136","Middle East"
"Germany","germany","31.7","2018 est.","137","Europe"
"Egypt","egypt","31.5","2017 est.","138","Africa"
"Korea, South","korea-south","31.4","2016 est.","139","East and Southeast Asia"
"Cyprus","cyprus","31.2","2019 est.","140","Europe"
"Malta","malta","31.0","2019 est.","141","Europe"
"Albania","albania","30.8","2019 est.","142","Europe"
"Estonia","estonia","30.8","2019 est.","143","Europe"
"Burma","burma","30.7","2017 est.","144","East and Southeast Asia"
"Fiji","fiji","30.7","2019 est.","145","Australia and Oceania"
"Ireland","ireland","30.6","2018 est.","146","Europe"
"Austria","austria","30.2","2019 est.","147","Europe"
"Poland","poland","30.2","2018 est.","148","Europe"
"Hungary","hungary","30.0","2019 est.","149","Europe"
"Guinea","guinea","29.6","2018 est.","150","Africa"
"Pakistan","pakistan","29.6","2018 est.","151","South Asia"
"Iraq","iraq","29.5","2012 est.","152","Middle East"
"Afghanistan","afghanistan","29.4","2008","153","South Asia"
"Maldives","maldives","29.3","2019 est.","154","South Asia"
"Netherlands","netherlands","29.2","2019 est.","155","Europe"
"Kosovo","kosovo","29.0","2017 est.","156","Europe"
"Kyrgyzstan","kyrgyzstan","29.0","2020 est.","157","Central Asia"
"Croatia","croatia","28.9","2019 est.","158","Europe"
"Sweden","sweden","28.8","2017 est.","159","Europe"
"Timor-Leste","timor-leste","28.7","2014 est.","160","East and Southeast Asia"
"Kazakhstan","kazakhstan","27.8","2018 est.","161","Central Asia"
"Kiribati","kiribati","27.8","2019 est.","162","Australia and Oceania"
"Denmark","denmark","27.7","2019 est.","163","Europe"
"Finland","finland","27.7","2019 est.","164","Europe"
"Norway","norway","27.7","2019 est.","165","Europe"
"Algeria","algeria","27.6","2011 est.","166","Africa"
"Belgium","belgium","27.2","2019 est.","167","Europe"
"Iceland","iceland","26.1","2017 est.","168","Europe"
"Ukraine","ukraine","26.1","2018 est.","169","Europe"
"Moldova","moldova","26.0","2019 est.","170","Europe"
"Czechia","czechia","25.3","2019 est.","171","Europe"
"Armenia","armenia","25.2","2020 est.","172","Middle East"
"Slovakia","slovakia","25.2","2016 est.","173","Europe"
"Belarus","belarus","24.4","2020 est.","174","Europe"
"Slovenia","slovenia","24.2","2017 est.","175","Europe"
"Faroe Islands","faroe-islands","22.7","2013 est.","176","Europe"
"Jersey","jersey","0.3","2014 est.","177","Europe"
